Address,Unit Number,Price,Status,Description,Bathroom Count,Bedroom Count,Property Type,Square Feet,Total Rooms,Listing Agent 1,Listing Agent 2
790 Riverside Drive,4F,441000,Sold,"Restored Pre-war 1-Bed/1Bath Co-op with elegant space and a large eat-in- kitchen, located in the Audubon Park Historic District of Washington Heights. This home is ideally suited for today's varied lifestyles and neighborly values.The Riviera is a premier full-service building with many recent capital improvements. Pied-a-terre, parents, and co-purchases allowed. Steps to #1 train (157 St.) or nearby C (155 St.), Broadway (M4,M5) and Bronx (BX6) buses, and convenient auto access to West Side Hwy and GW Bridge. Discover Upper Manhattan's many treasures and pleasures. Stroll along Riverside Park, swim at Riverbank State Park, shop at Fairway, and dine at Manhattanville. Columbia Medical Center is only 7 blocks north. ($149/mo. assessment 2013.)",1,1,Co-op,1000,3,jeraldr.james@corciman.com,cathyj.chapoteau@corciman.com
794 HART ST,2B,650000,Sold,"Have it all at this one bedroom, one bathroom condo complete with storage at the KNICK, one of Bushwicks most desirable fully established condominiums!   Exquisitely designed and generous in size, this 776 square foot apartment has a large living room accented with an exposed brick wall and complete with oversized windows that flood the space with natural light. The state of the art kitchen is stunning with its custom cabinetry, stone countertops, stainless steel appliances, glass tile backsplash and is good for entertaining with its counter overlooking the oversized living room which is large enough to fit a dining table. The master bedroom, fit for a king, is well sized and has a double closet.  The hardwood oak floors add to this apartments welcoming flow. Apartment 2B offers all the modern conveniences one would expect with its washer/dryer, central HVAC, and private storage. Located in the heart of Bushwick, the Knick was fully restored and re-imagined as spectacular condo lofts in 2011.  The building maintains its rich prewar character while offering top quality modern finishes, industrial style chic-ness and energy-efficient technology.  The KNICK is complete with a fitness room, two common roof decks, bicycle storage, private storage, and virtual doorman.  Truly stunning, this apartment will not last long.",1,1,Condo,776,4,sara.slattery@corciman.com,
794 HART ST,4A,750000,Sold,"Enjoy expansive, full skyline views from this spacious 2 bedroom, 2 bathroom duplex w/ private roof terrace at the KNICK, one of Bushwicks most desirable fully established condominiums!   Have it all in this 1,143sqft loft that is complete with its own onsite parking space and storage unit. Exquisitely designed and generous in size, apartment 4A has a large living room complete with exposed brick and oversized, arched windows, that flood the space with West facing natural light. The state of the art kitchen is stunning with its custom cabinetry, stone countertops, stainless steel appliances, glass tile backsplash and is good for entertaining with its counter overlooking the oversized living room, which is large enough to fit a dining table. The master en suite, is fit for a king, is well sized, offers a lovely windowed bathroom, vaulted ceilings and is accented with a an entire wall of windows and French Doors that open to your expansive roof terrace.  The roof terrace offers unparalleled views of all of Manhattan and incredible sunsets.  The second bedroom, also offers views from its two windows and is located on the first floor of the duplex, adjacent to the second bathroom.  The hardwood oak floors and oversized windows add to this apartments welcoming flow. Apartment 4A offers all the modern conveniences one would expect with its washer/dryer, central HVAC, private storage and best of all, its very own, on-site parking space. Located in the heart of Bushwick, the Knick was fully restored and re-imagined as spectacular condo lofts in 2011.  This building maintains its rich prewar character while offering top quality modern finishes, industrial style chic-ness and energy-efficient technology.  The KNICK is complete with a fitness room, two common roof decks, bicycle storage, private storage, and virtual doorman.  Truly stunning, this apartment will not last long.",2,2,Condo,1143,5,vickeyl.wood@corciman.com,
794 Lexington Ave,,1399955,Sold,"Welcome to 794 Lexington Avenue. This cozy 2 family town home speaks volumes to the premiere investment potential, modernity and classic charm of Bedford Stuyvesant. Situated  amongst booming condo developments, high-end rentals, and within 5 blocks of the J & Z express trains, this  luxury home with rental unit provides direct access to an endless array of unique restaurant, bars, and social venues in near by Bushwick, Williamsburg, and the Lower East Side.  794 Lexington Avenue boasts stunning red brick exterior, accented with black window sashes, grilles, and double doors as eel as a newly renovated interior with custom moldings, lush hardwood floors, and recessed lighting throughout. An airy, open concept living area with original fire place and an abundance of natural light from large exposures makes for a warm welcome to the owners duplex. In the rear of the parlor floor is an accommodating, eat-in kitchen, featuring stainless steal appliances and dishwasher, a large center island with sink and gleaming marble counter tops, as well as pristine white cabinetry. This chefs haven is adorned with sunlight from an oversized exposure and impressive pair of double glass doors a scenic transition from the kitchen to a matching cast iron deck overlooking the garden area. While parlor floor features inviting common areas, the upper level of the owners duplex boasts a spacious 3-bedroom, 2 bathroom layout, featuring a spacious master bedroom with 3 large exposures and an en suite bathroom with his and her sinks, large standing shower, and sleek marble tiling. 794 Lexington Avenue presents an ideal living arrangement for future occupants alike. Have direct access to a pristine finished basement with full height ceilings, recessed lighting and custom tiling, or duplex the garden rental for extra income!  Live comfortably while generating rental income with a newly renovated, 2-bedroom, garden level apartment, finished with the same style and grace as the owners quartersopen airy living area, new kitchen and bathroom, as well as recessed lighting, custom moldings, and hardwood floors.",0,0,Townhouse,0,,paul.saez-fromm@corciman.com,
799 Greenwich St,5N,2510000,Sold,"WEST VILLAGE GEM.From the moment you walk into this unique corner loft with 13 windows and 3 bright exposures, theres an almost indescribable feeling of WOW. Flooded with light and loaded with pre-war lofty elements - including exposed beams and tin ceilings - this 2 bedroom/2 bath home is 4 flights up and absolutely worth it. The large corner living room (south and east) with open kitchen is well-suited for entertaining and enjoying. The large master bedroom is on the opposite side of the loft, affording privacy, peace, and quiet. Both bathrooms are windowed. And you have a washer/dryer.PLEASE NOTE: 799 Greenwich is a self-managed arts cooperative and is subject to an arts-professions mandate per The City of New Yorks Article 7B/Multiple Dwelling Code. This restriction is distinct from NYCs AIR requirements and waivers are not permitted. Members of 799 Greenwich must be full-time residents (no pieds--terre) and one's primary profession must involve the furtherance of cultural pursuits. Ideally situated in the heart of the West Village between 12th Street and Jane, 799 Greenwich is a pet-friendly boutique coop with very low maintenance and 12 apartments. Primary residence only.There is a $25 monthly assessment.",2,2,Co-op,,4,deborah.ethridge@corciman.com,
799 Greenwich St,5N,2510000,Sold,"WEST VILLAGE GEM.From the moment you walk into this unique corner loft with 13 windows and 3 bright exposures, theres an almost indescribable feeling of WOW. Flooded with light and loaded with pre-war lofty elements - including exposed beams and tin ceilings - this 2 bedroom/2 bath home is 4 flights up and absolutely worth it. The large corner living room (south and east) with open kitchen is well-suited for entertaining and enjoying. The large master bedroom is on the opposite side of the loft, affording privacy, peace, and quiet. Both bathrooms are windowed. And you have a washer/dryer.PLEASE NOTE: 799 Greenwich is a self-managed arts cooperative and is subject to an arts-professions mandate per The City of New Yorks Article 7B/Multiple Dwelling Code. This restriction is distinct from NYCs AIR requirements and waivers are not permitted. Members of 799 Greenwich must be full-time residents (no pieds--terre) and one's primary profession must involve the furtherance of cultural pursuits. Ideally situated in the heart of the West Village between 12th Street and Jane, 799 Greenwich is a pet-friendly boutique coop with very low maintenance and 12 apartments. Primary residence only.There is a $25 monthly assessment.",2,2,Co-op,,4,jeant.irenshtain@corciman.com,maria.milkowski@corciman.com
799 Park Avenue,7D,2995000,Temp Off Mkt,"Sprawling Classic 5 Room in move-in condition on 74th Street and Park Avenue, one of the citys best locations!  Enter into a center gallery leading to the expansive and elegant 15-foot wide by 34-foot south facing living room.Wonderful layout offers split bedrooms with ensuite windowed bathrooms + a Formal Dining Room which can easily become a Third Bedroom. The south facing Master Bedroom Suite offers five custom designed closets, one of which is an oversized walk-in, its own separate desk area and a marble clad windowed bathroom.   The second bedroom suite is flooded with sunlight and offers a fully renovated windowed bathroom and ample custom fitted closets.     The spacious and bright formal Dining Room accesses the chefs kitchen. The renovated windowed kitchen offers custom cabinetry, Carrera marble counters and backsplashes, SubZero refrigerator, Viking Stove, all  top of the line appliances, new Washer/Dryer, breakfast counter and its own service entrance.  It is a joy! Great light from three exposures, numerous closets and move-in condition makes this home not to be missed! 799 Park Avenue is a full-service, long-standing white glove coop offering its residents a full-time doorman,  elevator attendant,  state-of-the-art gym, a brand new outdoor garden area, laundry room, storage and garage. Please contact us for a private appointment.",2,2,Co-op,0,5,karina.klein@corciman.com,
8 MORNINGSIDE AVE,2-S,259000,Perm Off Mkt,"ACCEPTED OFFER  In HDFC a board application comes before going into contract. We have an accepted offer and are waiting for board approval. That means we CANNOT show this apartment anymore AWESOME HDFC 2 BEDROOM APARTMENTHDFC 60/40 BUILDING WITH INCOME GUIDELINES: 
Located on a quiet block, across from Morningside Park and the building is between Morningside Avenue and Manhattan Avenue. (114/115 Sts). This roomy two-bedroom floor-through unit with park views is in need of TLC. So, bring your imagination and your contractor to transform this beauty into a shiny diamond! This is a a walk-up building, only one flight up!.Ideal location at the 110th Street crossroads of Upper West Side and Harlem, just steps to Columbia University, Saint John the Divine cathedral, and Saint Lukes Hospital. A transportation nexus at 110th Street, with crosstown bus lines and B, C trains.""Come see for yourself how you can make it work!""
Not for investment or pied a terre.This needs to be a cash only purchase.",1,2,Co-op,,5,israel.hatoun@corciman.com,brian.browne@corciman.com
8 Vanderbilt Ave,11-D,2600,Temp Off Mkt,"Welcome Home to the Navy Green Condos, bordering some of the top neighborhoods in Brooklyn: Clinton Hill & Fort Greene! Live on an expansive high-floor Corner Unit overlooking the Navy Yard and Downtown Brooklyn. Unit 11D boasts Unobstructed city views and amazing natural light filtering through Eastern & Southern Exposures. It's the Epitome of modern living in one of Brooklyn's fastest growing neighborhoods. The kitchen is open to the spacious living area and features high-end Bosch & Kitchen-Aid stainless steel appliances including dishwasher & microwave, Grohe chrome fixtures and frosty carina Caesar stone countertops & backsplash. Luxurious bathroom is efficiently designed with porcelain wall tiles, Giagni soaking tub, Grohe chrome fixtures, and vanity that has a smoked walnut finish with integral solid surface sink. 5"" wide white hardwood OAK floors spans throughout the entire apartment which is wrapped in oversized Windows! There's ample closet space...2 in the hallway and 2 in bedroom (including walk-in)!Enjoy the Inclusive on-site Amenities at NAVY GREEN: 30K square feet grassy courtyard and garden, beautifully landscaped roof deck with BBQ and views of the East River, Manhattan, & Downtown Brooklyn, elegantly designed glass-framed lobby with seating area, fitness room, bike room, cold storage, laundry room, live-in super, and last but not least cloud-based smart intercom system. It's located a few blocks away from Fort Greene Park, and the nearby restaurants, cafes, markets and services on Washington, Myrtle and DeKalb Avenues. Across Flushing Ave is the Brooklyn Navy Yard, a Historic District and soon-to-be tech hub of NYC. There's plenty of options for public transportation: CitiBike station and B57/B69 and B62 buses ~ one block away, F line on York and A, C, F &R lines on Jay St - MetroTech are ~ 1 mile away and G line on Clinton-Washington Ave is 0.7 mile away. ++Available ASAP...upon board approval. Please email to set up a showing.",1,1,Condo,762,3,marie.nathanson@corciman.com,
8 Vanderbilt Ave,11-D,2600,Temp Off Mkt,"Welcome Home to the Navy Green Condos, bordering some of the top neighborhoods in Brooklyn: Clinton Hill & Fort Greene! Live on an expansive high-floor Corner Unit overlooking the Navy Yard and Downtown Brooklyn. Unit 11D boasts Unobstructed city views and amazing natural light filtering through Eastern & Southern Exposures. It's the Epitome of modern living in one of Brooklyn's fastest growing neighborhoods. The kitchen is open to the spacious living area and features high-end Bosch & Kitchen-Aid stainless steel appliances including dishwasher & microwave, Grohe chrome fixtures and frosty carina Caesar stone countertops & backsplash. Luxurious bathroom is efficiently designed with porcelain wall tiles, Giagni soaking tub, Grohe chrome fixtures, and vanity that has a smoked walnut finish with integral solid surface sink. 5"" wide white hardwood OAK floors spans throughout the entire apartment which is wrapped in oversized Windows! There's ample closet space...2 in the hallway and 2 in bedroom (including walk-in)!Enjoy the Inclusive on-site Amenities at NAVY GREEN: 30K square feet grassy courtyard and garden, beautifully landscaped roof deck with BBQ and views of the East River, Manhattan, & Downtown Brooklyn, elegantly designed glass-framed lobby with seating area, fitness room, bike room, cold storage, laundry room, live-in super, and last but not least cloud-based smart intercom system. It's located a few blocks away from Fort Greene Park, and the nearby restaurants, cafes, markets and services on Washington, Myrtle and DeKalb Avenues. Across Flushing Ave is the Brooklyn Navy Yard, a Historic District and soon-to-be tech hub of NYC. There's plenty of options for public transportation: CitiBike station and B57/B69 and B62 buses ~ one block away, F line on York and A, C, F &R lines on Jay St - MetroTech are ~ 1 mile away and G line on Clinton-Washington Ave is 0.7 mile away. ++Available ASAP...upon board approval. Please email to set up a showing.",1,1,Condo,762,3,olivia.rieders@corciman.com,
80 CHAMBERS ST,12B,1267500,Sold,"This sprawling and generously proportioned 1,056 sq ft one bedroom, one bath Tribeca Loft is an opportunity not to be missed. Located in Tribecas premier Pre-War Condominium, 80 Chambers Street, this unit features: an expansive Living/Dining room with soaring 10' +/- beamed-ceilings, a Bulthaup kitchen with Miele & Sub Zero appliances. The elegant bathroom has graphite slate floors and snow white ceramic tiles with Duravit and Grohe fittings. There are oversized North facing windows throughout this home. Best of all there is excellent closet storage and your own deeded 40 sq ft locked storage area on the floor! 80 Chambers Street is a 24 hour doormen and concierge, playroom, media, and fitness rooms, as well as downtown's most spectacular landscaped roof deck with breathtaking 360 degree views. There is a laundry room located on the same floor as the apartment (or one may be installed in the unit). 80 Chambers Street is located within two blocks of 10 subway lines, Whole Foods, and everything Tribeca has to offer. Pets are allowed.",1,1,Condo,1056,3,paull.sagan@corciman.com,
80 COLUMBUS CIR,68A,8750000,Perm Off Mkt,"Perfect Pied-a-Terre!  This 2 Bedroom, 2.5 bath condo at The Mandarin Oriental Residences has extraordinary panoramic views of Central Park, the G.W. Bridge, the Hudson River, the Statue of Liberty and the City in general. The gracious entry gallery leads to an expansive 30 great room. The 2nd bedroom is currently configured as a library/den with an ensuite bath. The master suite has ample closets, a beautiful windowed white marble bath and a luxurious bedroom with West & North exposures. The modern kitchen has the following Miele appliances: stove, dishwasher, washer/dryer; and a Subzero refrigerator/freezer. There is an elegant powder room off of the Gallery which completes this wonderful home. Handsome hardwood floors throughout. An automated system is in place which controls everything from a touchpad: stereo, TV, lights, temperature, shades and curtains. A 470 cubic foot California Closet designed storage unit with excellent hanging and shelving space also comes with the apartment. As a resident, youll have access to all the Mandarin Oriental Hotels five-star amenities and exclusive resident services, including 24/7 room and concierge services, state-of-the art fitness center, the first class renowned Mandarin Spa, 75 foot swimming pool, valet and doorman services, as well as all the Club 51 amenities at 25 Columbus Circle. Close proximity to Central Park, The Shops at Columbus Circle, Lincoln Center, the hotel restaurants and many nearby fine restaurants, boutiques and NYC hotspots. 6 month's common charges Transfer Fee payable by purchaser and 3 month's common charge Capital Fund contribution payable by purchaser.",2.5,2,Condo,1653,4,shirley.stanand@corciman.com,deborah.dwyer@corciman.com
80 JOHN ST,4B,1149000,Perm Off Mkt,"Come see the best two bedroom condominium value downtown at $1200 psf! This perfectly proportioned pre war loft has two large split bedrooms, two bathrooms, 108 ceilings and oversized windows. There is a tasteful and elegant open granite and stainless steel chef's kitchen with custom cabinets, Sub Zero, Bosch appliances, Watermark pull-out faucet, under-mounted sink and convection oven. Luscious bathrooms feature Watermark fixtures, featuring mahogany cabinets, Carrera marble, and stone, under cabinet and over cabinet lighting. There are wide plank Brazilian cherry wood flooring throughout. Laundry on the floor. HVAC is multi zoned. There is excellent closet space. Originally built in 1926 by the architectural firm of Buchman & Kahn The South Star, is a historic prewar Art Deco building, is 24 stories and is located at 80 John Street in the desirable north eastern quadrant of the financial district. Complete building renovation and condominium conversion was completed in 2007-2008 by architect Stephen Jacobs and Interior Designer Andi Pepper. 80 John offers a multitude of accommodations for living, working and playing and is nestled in one of the most historic and architecturally significant neighborhoods that has been redeveloped. There is a full-time doorman and concierge services, live-in super, and on-site parking. The convenient location is moments from all the attractions of Downtown Manhattan, including Wall Street, the South Street Seaport, and the restaurants of Tribeca. The brand new Fulton Transit Center and Westfield mall and the new Whole Foods will be just minutes away and rapid transport anywhere in NYC via the A/C, 2/3, 4/5, R and J/Z trains. There is an assessment of $255 per month for Facade repairs running for 120 months.",2,2,Condo,1056,5,ruthm.shuken@corciman.com,craig.dadd@corciman.com
80 RIVERSIDE BLVD,PH2B,24500,Rented,"Fantastic river and skyline views, resort-like amenities, and a spacious full-floor layout, make this penthouse the perfect balance between urban elegance and upscale modern practicality. Located in the esteemed Rushmore Condominium, PH2B boasts 5 bedrooms and 4.5 bathrooms, encompassing  over 3,000 Sq. Ft. One enters off the exclusive, keyed elevator into a proper foyer, and is immediately greeted with breathtaking views of the Hudson. The corner dining area with Northern views up the Hudson is attached to the open chef's kitchen, which flows seamlessly into the impressive great room, making the residence well-suited for both entertaining and everyday purposes. The elegant master suite is thoughtfully located in the North West corner of the apartment, providing privacy and solitude. Each of the additional 4 bedrooms are generously proportioned with ample closet space.  Enormous windows throughout offer unobstructed river and skyline views from every direction.",4.5,5,Condo,3072,10,merele.pashby@corciman.com,
80 RIVERSIDE BLVD,PH2B,9600000,Perm Off Mkt,"Magnificent river and city views, resort-like amenities, and a generous full-floor layout, make this penthouse the perfect balance between urban elegance and upscale modern luxury. Located in the full service Rushmore Condominium, PH2B boasts 5 bedrooms and 4.5 bathrooms, encompassing  over 3,000 Sq. Ft. One enters into a proper foyer, and is immediately greeted with breathtaking views of the Hudson. The corner dining area with Northern views up the Hudson is attached to the open chef's kitchen, which flows seamlessly into the impressive great room, making the residence well-suited for both entertaining and everyday purposes. The elegant master suite is thoughtfully located in the North West corner of the apartment, providing privacy and solitude. Each of the additional 4 bedrooms are generously proportioned with ample closet space.  Huge windows throughout offer unobstructed river and skyline views from all directions.",4.5,5,Condo,3072,10,paul.saez-fromm@corciman.com,
80 RIVERSIDE BLVD,26A,4250000,Sold,"Ravishing at the Rushmore - This 3 bedroom, 3.5 bath apartment has 3 exposures with the most incredible Hudson River views.  The generous sized living room is on a corner, facing West and North with the George Washington Bridge in the distance.  The windowed eat-in kitchen captures the Hudson as well. The very gracious corner Master Bedroom Suite with open, East facing city views, includes a large dressing room and a windowed bath.  The third bedroom, adjacent to the living room is currently being used as a library but can easily be converted. There are several custom built-ins, as well as a W/D in this turnkey apartment. The Rushmore name speaks for itself with amenities galore and the vibrant Lincoln Center area just a few blocks away. SHOWINGS BY APPOINTMENT ONLY",3.5,3,Condo,1845,5,samantha.silverman@corciman.com,daphnee.derovira@corciman.com
800 Riverside Drive,7E,2025000,Sold,"JEWEL IN THE GRINNELL. Prewar Classic 9-to-8 (3-Bed, 2.5 Bath, 2-Maid) co-op superbly restored on Riverside Drive, Upper Upper West Side. High floor with panoramic views of Hudson and GWB. Authentic details: restored Tiger Oak paneling, oak floors, deep baseboards and woodwork, decorative and picture moldings, high ceilings, capacious closets. Professional kitchen features: heavy-grade stainless steel counters and cabinets, 6 burner Wolf-range, Sub-Zero and Franke pro 30"" sink. Well-proportioned bedrooms are separated from public areas by a gracious gallery. Two staff quarters, with W/D, serve as office, den, nanny, or 4th Bedroom. 18 windows sparkle north, east and western light. The Grinnell is well managed with exceptionally low maintenance. There's a new gym, bike and community rooms, and storage. Pet friendly. Income limits apply.This  home is ideally suited for today's varied lifestyles and neighborly values. Stroll along Riverside Park, swim, sport at Riverbank State Park, shop at Fairway, or dine by Riverside Piers. Walk to Columbias burgeoning Manhattanville campus or NY Presbyterian Medical Center 7 blocks north.Steps to 1 train (157), C (155), M4, M5 and BX6 buses. Auto access 158 to West Side Hwy and GW Bridge. Learn about Landmarked Audubon Park Historic District at www.audubonparkny.com. See why NY Magazine said in 2010, ""THE WEST 150's IS WHERE TO LIVE IN 2014"".Co-exclusive with Emma Kerins, Halstead. For showings, 24-hr notice please.",2.5,3,Co-op,,9,jeff.isaacs@corciman.com,cary.center@corciman.com
800 Riverside Drive,3A,1720000,Sold,"BIG SPACE, BRIGHT LIGHT - Rare A-Line, 3-Bed/2-Bath in The Grinnell HDFC co-op on Riverside Drive in the Audubon Park Historic District of Washington Heights. A gracious foyer welcomes you to grand living and adjoining formal dining connected by original French doors. The central hallway leads you to a spacious open kitchen, with seated counter that flows around to a Bosch cooktop, Profile oven, Liebherr fridge and generous cabinetry. Unique Master Bedroom, on an apex of the building, has an ensuite dressing room and spa-like stone tiled bathroom. Impressive authentic details include hardwood floors, deep baseboards and woodwork, decorative and picture mouldings, high ceilings, capacious closets and a washer & dryer. 19 windows at tree-top level will brighten your day. While the grandeur of this apartment reflects its by-gone era, its been refined to suit the needs of contemporary living. Homes in The Grinnell are of dramatic scale and masterful design by architects Schwartz & Gross, who gave their creation a Mediterranean-style facade with a porte-cochre entryway. Building amenities include part-time security, bicycle room (free), gym room (fee) storage (fee), resident superintendent, new roof deck, and pets are welcome. This is very well managed HDFC co-op with certain income restrictions and relatively low maintenance cost.The Grinnell and environs are ideally suited for today's varied lifestyles and neighborly values. Stroll along winding streets and pre-warm charm to Riverside Park and the Hudson River Greenway. Swim, sport, play at Riverbank State Park, shop at new Super Foodtown, or dine at one of the many old and new restaurants along Broadway. Youll be ideally located between Columbia University's burgeoning Manhattanville campus and world-class NY Presbyterian/Columbia Medical Center. The 1 train (157) is across the street, C (155), M4, M5 and BX6 buses on the corner. Quick auto access at 158 to the West Side Hwy and George Washington Bridge, and across 155th Street to Yankee Stadium and the Major Deegan Expwy. See...www.audubonparkny.com for local history and culture. Barbara Corcoran says""Washington Heights is among the most best-valued real estate in the city. What's going on in those neighborhoods is mind-boggling.",2,3,Co-op,,6,jessica.joseph@corciman.com,charlie.church@corciman.com
800 Riverside Drive,7C,1595000,Sold,"CHARMING CHARACTER,  Classic 6 pre-war charm on Riverside Drive in the Audubon Park Historic District of Washington Heights. This 3-Bed/2-bath residence in the Grinnell HDFC co-op has preserved original prewar details for the discerning buyer. It features a large formal dining room with original wainscoting and double French doors.  Across the gallery hallway is a charming Living Room with its own double French doors and a decorative fireplace. The angled windowed kitchen includes carefully restored original 1910 cabinets that are complemented by high-end appliances including a Dynasty convection oven, a Sub-Zero PRO 48 dual refrigerator and a Miele washer & dryer.  This home offers beautifully restored period architectural details, magnificent hardwood floors, doors and frames, 10ft ceilings, and numerous other feature that include original transoms and bath in the third bedroom.Homes in The Grinnell are of dramatic scale and masterful design by architects Schwartz & Gross, who gave their creation a Mediterranean-style facade with a porte-cochre entryway. Building amenities include security, bicycle room (free), gym room (extra) storage (extra), resident superintendent, new roof deck, and pets are welcome. This is very well managed HDFC co-op with certain income restrictions, and low maintenance cost.The Grinnell and environs are ideally suited for today's varied lifestyles and neighborly values. Stroll along winding streets and pre-warm charm to Riverside Park and the Hudson River Greenway. Swim, sport, play at Riverbank State Park, shop at new Super Foodtown, or dine at one of the many old and new restaurants along Broadway. Youll be ideally located between Columbia University's burgeoning Manhattanville campus and world-class NY Presbyterian/Columbia Medical Center. The 1 train (157) is across the street, C (155), M4, M5 and BX6 buses on the corner. Quick auto access at 158 to the West Side Hwy and George Washington Bridge, and across 155th Street to Yankee Stadium and the Major Deegan Expwy. See...www.audubonparkny.com for local history and culture. Barbara Corcoran says""Washington Heights is among the most best-valued real estate in the city. What's going on in those neighborhoods is mind-boggling.",2,3,Co-op,,6,jill.joseph@corciman.com,chris.cohen@corciman.com
800 Riverside Drive,4H,1425000,Sold,"Hidden Treasurea truly unique potential to own a Grinnell 3-Bedroom, 1.5-Bathroom, and a library (4th Bedroom) in its original design and condition. Imagine yourself in true pre-war splendor in the Audubon Park Historic District of Washington Heights. Bright light from oversized windows, facing Riverside Drive north and interior courtyard. The windowed kitchen, with washer/dryer, has the 1910 glass-fronted cabinetry and a butlers pantry hall leading to the wainscotted formal dining room. Across the gallery hallway is a spacious living room and a large library/bedroom. Classic details include: hardwood floors, French doors, wooden doors and frames, crown mouldings, deep baseboards, capacious closets, leaded glass transoms, and 10-foot ceilings.Homes in The Grinnell are of dramatic scale and masterful design by architects Schwartz & Gross, who gave their creation a Mediterranean-style facade with a porte-cochre entryway to an interior courtyard. Building amenities include attended entry, resident superintendent, bicycle room (free), gym (extra) storage (extra), resident superintendent, new roof deck, and pets are welcome. This is very well managed HDFC co-op with low maintenance cost. Certain income restrictions apply, please call for details.The Grinnell and environs are ideally suited for today's varied lifestyles and neighborly values. Stroll along winding streets and grand pre-war buildings to Riverside Park and the Hudson River Greenway. Swim, sport, play at Riverbank State Park, shop at Super Foodtown, or dine at one of the new coffee shops and restaurants along Broadway. Youll be ideally situated between Columbia University's burgeoning Manhattanville campus and world-class NY Presbyterian/Columbia Medical Center. Engage in early Americana at the Morris-Jumel Mansion, Hamilton Grange and Audubon sites. The 1 train (157) is across the street, C (155), M4, M5 and BX6 buses on the corner. Quick auto access at 158 to the West Side Hwy and George Washington Bridge, and across 155th Street to Yankee Stadium and the Major Deegan Expwy.Barbara Corcoran says""Washington Heights is among the most best-valued real estate in the city. What's going on in those neighborhoods is mind-boggling.See...www.audubonparkny.com for local history and culture.",1.5,3,Co-op,,7,john.katcher@corciman.com,claudia.columbia@corciman.com
800 Riverside Drive,2F,1600000,Sold,"The Grinnell in the Audubon Park Historic District of Washington Heights showcases this remarkable home with graciously proportioned spaces. A large gallery leads to 3-Bedrooms, 2-Baths, office and library, or 4th Bedroom. Fully and painstakingly renovated and restored throughout, including the grand dining rooms original wainscoting. Carefully refurbished pre-war details include: hardwood floors, doors and frames, crown mouldings, baseboards, inlaid transoms, and 10-foot ceilings. Modern kitchen with Bisazza tile floors, Carrara marble counters, double-fuel Jenn-Air range (vented), Jenn-Air refrigerator, Bosch dishwasher and Asko washer/dryer. Seven oversized closets are more than ample, and nine large windows provide bright sunlight both south and north.Well-managed coop with excellent financials and low maintenance. Amenities include gym ($300/yr), bike room, storage rooms (extra) and new roof deck. Pet friendly. Income restrictions apply.Stroll along Riverside Park, swim, sport at Riverbank State Park, shop at Fairway, or dine at one of the many new restaurants along Broadway. Located near Columbias burgeoning Manhattanville campus and NY Presbyterian/Columbia Medical Center.300 feet to 1 train (157), C (155), M4, M5 and BX6 buses. Auto access 158 to West Side Hwy and GW Bridge. Learn about Landmarked Audubon Park Historic District atwww.audubonparkny.com. Showings, 24-hr notice please.",2,3,Co-op,0,7,joseph.kelly@corciman.com,daren.dechter@corciman.com
800 Riverside Drive,2B,975000,Sold,"Timeless Luxury Redefined for Contemporary New York. The Grinnell in the Audubon Park Historic District of Washington Heights showcases this unique Pre-war 2-Bedroom/1-Bathroom residence. The graciously proportioned home blends a rich historic character with chic downtown ambiance. A large, triangular foyer unfolds into the renewed wainscotted dining room with elegance all its own. Southern exposure brightens every room, all with treetop views.Original 1910 details, painstakingly refurbished, include hardwood floors, doors and frames, crown mouldings, deep baseboards, inlaid transoms, and 10-foot ceilings. Oversized closets throughout. The modern kitchen has a new tiled floor, marble countertops, Viking Chefs range, GE Profile refrigerator and Bosch dishwasher.

The Grinnell is a well-managed coop with excellent financials and low maintenance. Amenities include gym ($300/yr), storage rooms (extra), bike room and a new roof deck. Resident Superintendent and part-time entry attendant. Pet friendly. Income restrictions apply.This superlative home is ideally suited for today's varied lifestyles and neighborly values. Stroll along Riverside Park, swim, sport at Riverbank State Park, shop at Fairway, or dine at one of the many new restaurants along Broadway. Located near Columbias burgeoning Manhattanville campus and NY Presbyterian/Columbia Medical Center.

Nearby 1 train (157), C (155), M4, M5 and BX6 buses. Auto access 158 to West Side Hwy and GW Bridge. Learn about Landmarked Audubon Park Historic District at www.audubonparkny.com.  As Barbara Corcoran says... Washington Heights is among the most best-valued real estate in the city. ""What's going on in those neighborhoods is mind-boggling."" Bloomberg 5/2015NOTE: Initial bidding period is from Sept. 15 to Sept. 25 during which time offers will be received but not negotiated. This gives all buyers an opportunity to view the property. Further details upon request.",1,2,Co-op,0,5,karen.king-brown@corciman.com,deanna.dougherty@corciman.com
801 Riverside Drive,3H,359000,Sold,"*IN CONTRACT* Gut-renovated pre-war detailed 1BR/1Bath CONDO in the Historic District of Southern Washington Heights. Very quiet, tree-lined block, close to transportation and services. Kitchen with granite countertops and stainless steel appliances. Beamed ceiling, hardwood floors, excellent light through new windows. Live-in Super, laundry in basement and pet friendly. Learn about Landmarked Audubon Park at www.audubonparkny.com. Half-block to 1 train (157), further to C (155), M4, M5 and BX6 buses nearby. Auto access 158 to West Side Hwy and GW Bridge. See why NY Mag said West 150's is ""WHERE TO LIVE IN 2014""",1,1,Condo,631,3,janet.ionescu@corciman.com,carolyn.castro@corciman.com
